task_index,task_id,category,level,eval_type,ground_truth,query
1,svamp_chal_1,Subtraction,1,float_tol,\boxed{51},Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each pack How much do you have to pay to buy each pack?  Solve this mathematical problem step-by-step. Put your final answer within \boxed{}.
2,svamp_chal_2,Subtraction,1,float_tol,\boxed{1},Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start How much did the candy bar cost?  Solve this mathematical problem step-by-step. Put your final answer within \boxed{}.
3,svamp_chal_3,Subtraction,1,float_tol,\boxed{17},Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies. How many salty cookies did Paco have left?  Solve this mathematical problem step-by-step. Put your final answer within \boxed{}.
4,svamp_chal_4,Subtraction,1,float_tol,\boxed{22},43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus. How many children got off the bus at the bus stop?  Solve this mathematical problem step-by-step. Put your final answer within \boxed{}.
5,svamp_chal_5,Subtraction,1,float_tol,\boxed{2},28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus. How many more children got on the bus than those that got off?  Solve this mathematical problem step-by-step. Put your final answer within \boxed{}.
6,svamp_chal_6,Subtraction,1,float_tol,\boxed{46},There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left. How much more money did she collect at the atm than she spent at the supermarket?  Solve this mathematical problem step-by-step. Put your final answer within \boxed{}.
7,svamp_chal_7,Subtraction,1,float_tol,\boxed{3},Jerry had some action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If there are a total of 10 action figures on his shelf now How many action figures did he have initially on the shelf?  Solve this mathematical problem step-by-step. Put your final answer within \boxed{}.
8,svamp_chal_8,Subtraction,1,float_tol,\boxed{9},Paco had 41 cookies. He gave 9 cookies to his friend and ate 18 cookies. How many more cookies did he eat than those he gave to his friend?  Solve this mathematical problem step-by-step. Put your final answer within \boxed{}.
9,svamp_chal_9,Subtraction,1,float_tol,\boxed{4},Mary is baking a cake. The recipe calls for 3 cups of sugar 10 cups of flour and 15 cups of salt. She already put in 6 cups of flour. How many more cups of flour does she need to add?  Solve this mathematical problem step-by-step. Put your final answer within \boxed{}.
10,svamp_chal_10,Addition,1,float_tol,\boxed{21},A waiter had some customers. After 9 customers left he still had 12 customers. How many customers did he have at the start?  Solve this mathematical problem step-by-step. Put your final answer within \boxed{}.
11,svamp_chal_11,Subtraction,1,float_tol,\boxed{1},3 birds were sitting on the fence. 6 more storks and 2 more birds came to join them. How many more storks than birds are sitting on the fence?  Solve this mathematical problem step-by-step. Put your final answer within \boxed{}.
12,svamp_chal_12,Multiplication,1,float_tol,\boxed{143},They decided to hold the party in their backyard. If they have 11 sets of tables and each set has 13 chairs How many chairs do they have in the backyard?  Solve this mathematical problem step-by-step. Put your final answer within \boxed{}.
13,svamp_chal_13,Subtraction,1,float_tol,\boxed{926},In a school there are 458 more girls than boys. If there are 692 girls How many pupils are there in that school?  Solve this mathematical problem step-by-step. Put your final answer within \boxed{}.
14,svamp_chal_14,Multiplication,1,float_tol,\boxed{255},After resting they decided to go for a swim. The depth of the water is 15 times Dean's height. Dean is 4 feet taller than Ron. If Ron stands at 13 feet How deep was the water?  Solve this mathematical problem step-by-step. Put your final answer within \boxed{}.
15,svamp_chal_15,Addition,1,float_tol,\boxed{10},6 birds were sitting on the fence. 4 more birds and 8 more storks came to join them. How many birds are sitting on the fence?  Solve this mathematical problem step-by-step. Put your final answer within \boxed{}.
16,svamp_chal_16,Subtraction,1,float_tol,\boxed{16},Marco and his dad went strawberry picking. Together they collected strawberries that weighed 36 pounds. On the way back Marco ' dad lost 8 pounds of strawberries. Marco's strawberries now weighed 12 pounds. How much did his dad's strawberries weigh now?  Solve this mathematical problem step-by-step. Put your final answer within \boxed{}.
17,svamp_chal_17,Subtraction,1,float_tol,\boxed{469},In a school there are 697 girls and the rest are boys. If there are 228 more girls than boys How many boys are there in that school?  Solve this mathematical problem step-by-step. Put your final answer within \boxed{}.
18,svamp_chal_18,Addition,1,float_tol,\boxed{1414},In a school there are 732 girls and 761 boys. 682 more girls and 8 more boys joined the school. How many girls are there in the school now?  Solve this mathematical problem step-by-step. Put your final answer within \boxed{}.
19,svamp_chal_19,Subtraction,1,float_tol,\boxed{27},Danny collects bottle caps and wrappers. He found 22 bottle caps and 30 wrappers at the park. Now he has 17 bottle caps and 57 wrappers in his collection. How many wrappers did danny have at first?  Solve this mathematical problem step-by-step. Put your final answer within \boxed{}.
