task_index,task_id,subcategory,eval_type,ground_truth,query
1,lila_arithmetic_001,arithmetic,exact,95,Compute (12 + 7) * 5.  Solve this problem step-by-step using Python code or mathematical reasoning. Your final answer should be enclosed in \boxed{}.
2,lila_arithmetic_002,arithmetic,exact,224,Compute (22 + 10) * 7.  Solve this problem step-by-step using Python code or mathematical reasoning. Your final answer should be enclosed in \boxed{}.
3,lila_arithmetic_003,arithmetic,exact,405,Compute (32 + 13) * 9.  Solve this problem step-by-step using Python code or mathematical reasoning. Your final answer should be enclosed in \boxed{}.
4,lila_arithmetic_004,arithmetic,exact,638,Compute (42 + 16) * 11.  Solve this problem step-by-step using Python code or mathematical reasoning. Your final answer should be enclosed in \boxed{}.
5,lila_arithmetic_005,arithmetic,exact,923,Compute (52 + 19) * 13.  Solve this problem step-by-step using Python code or mathematical reasoning. Your final answer should be enclosed in \boxed{}.
6,lila_arithmetic_006,arithmetic,exact,1260,Compute (62 + 22) * 15.  Solve this problem step-by-step using Python code or mathematical reasoning. Your final answer should be enclosed in \boxed{}.
7,lila_arithmetic_007,arithmetic,exact,1649,Compute (72 + 25) * 17.  Solve this problem step-by-step using Python code or mathematical reasoning. Your final answer should be enclosed in \boxed{}.
8,lila_arithmetic_008,arithmetic,exact,2090,Compute (82 + 28) * 19.  Solve this problem step-by-step using Python code or mathematical reasoning. Your final answer should be enclosed in \boxed{}.
9,lila_arithmetic_009,arithmetic,exact,2583,Compute (92 + 31) * 21.  Solve this problem step-by-step using Python code or mathematical reasoning. Your final answer should be enclosed in \boxed{}.
10,lila_arithmetic_010,arithmetic,exact,3128,Compute (102 + 34) * 23.  Solve this problem step-by-step using Python code or mathematical reasoning. Your final answer should be enclosed in \boxed{}.
11,lila_arithmetic_011,arithmetic,exact,3725,Compute (112 + 37) * 25.  Solve this problem step-by-step using Python code or mathematical reasoning. Your final answer should be enclosed in \boxed{}.
12,lila_arithmetic_012,arithmetic,exact,4374,Compute (122 + 40) * 27.  Solve this problem step-by-step using Python code or mathematical reasoning. Your final answer should be enclosed in \boxed{}.
13,lila_arithmetic_013,arithmetic,exact,5075,Compute (132 + 43) * 29.  Solve this problem step-by-step using Python code or mathematical reasoning. Your final answer should be enclosed in \boxed{}.
14,lila_arithmetic_014,arithmetic,exact,5828,Compute (142 + 46) * 31.  Solve this problem step-by-step using Python code or mathematical reasoning. Your final answer should be enclosed in \boxed{}.
15,lila_arithmetic_015,arithmetic,exact,6633,Compute (152 + 49) * 33.  Solve this problem step-by-step using Python code or mathematical reasoning. Your final answer should be enclosed in \boxed{}.
16,lila_arithmetic_016,arithmetic,exact,7490,Compute (162 + 52) * 35.  Solve this problem step-by-step using Python code or mathematical reasoning. Your final answer should be enclosed in \boxed{}.
